record_id,resolved_image_path,label_coarse_class,dino_top1,dino_top2,dino_top3,dino_top1_score,dino_top2_score,dino_margin,direct_flashover_evidence,evidence_location,claim_supported,possible_confounders,recommend_review,short_reason,margin_rank,vlm_rank,selected_policy_decision,decision_margin_k4
train_img18_ann143,outputs/stage10/vlm_topk_inference_manifest/images/train_img18_ann143.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.4508168679962464,0.3402767327356784,0.110540135260568,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",6,7,accept,accept
train_img23_ann186,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann186.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.7382223800340117,0.2577422723052697,0.480480107728742,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",22,10,accept,accept
train_img23_ann194,outputs/stage10/vlm_topk_inference_manifest/images/train_img23_ann194.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.6505395072462248,0.3353258237064696,0.3152136835397552,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",15,15,accept,accept
train_img1_ann3,outputs/stage10/vlm_topk_inference_manifest/images/train_img1_ann3.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.5928663915391126,0.3030995900931454,0.2897668014459671,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",12,18,accept,accept
val_img17_ann1057,outputs/stage10/vlm_topk_inference_manifest/images/val_img17_ann1057.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.5195689387480971,0.4743497550259575,0.0452191837221395,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,2,27,accept,review
val_img17_ann1058,outputs/stage10/vlm_topk_inference_manifest/images/val_img17_ann1058.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.6454276995466653,0.3520506998376292,0.2933769997090361,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,13,28,accept,accept
val_img33_ann1066,outputs/stage10/vlm_topk_inference_manifest/images/val_img33_ann1066.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.5433121786244588,0.4443543715095269,0.0989578071149319,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,5,30,accept,accept
val_img33_ann1074,outputs/stage10/vlm_topk_inference_manifest/images/val_img33_ann1074.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.5967948697150235,0.3748496706126502,0.2219451991023733,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,9,34,accept,accept
val_img33_ann1075,outputs/stage10/vlm_topk_inference_manifest/images/val_img33_ann1075.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.8740038344576815,0.1207691632293085,0.753234671228373,yes,on_insulator,yes,"['background', 'blur', 'low_contrast']",True,Direct burn trace on the insulator surface confirms flashover.,31,35,accept,accept
val_img9_ann1037,outputs/stage10/vlm_topk_inference_manifest/images/val_img9_ann1037.jpg,insulator_ok,defect_flashover,insulator_ok,defect_broken,0.6388404070900144,0.3254151206289156,0.3134252864610988,yes,on_insulator,yes,"['shadow', 'background', 'blur', 'low_contrast', 'partial_crop']",True,"The burn trace is clearly visible on the insulator surface, indicating a flashover.",14,36,accept,accept
